name,handedness,height (inches),weight(pounds),avg,avg_group,HR
Ron Brand,right-handed,67,167,0.239,0.24,3
Leo Cardenas,right-handed,71,150,0.257,0.26,118
Art Shamsky,left-handed,73,168,0.253,0.26,68
Steve Ellsworth,right-handed,80,220,0,0,0
Ron Cey,right-handed,70,185,0.261,0.27,316
Skip Jutze,right-handed,71,190,0.215,0.22,3
Butch Wynegar,both-handed,73,190,0.255,0.26,65
Ron LeFlore,right-handed,72,200,0.288,0.29,59
Bill Russell,right-handed,72,175,0.263,0.27,46
Gene Tenace,right-handed,72,190,0.241,0.25,201
Bubba Morton,right-handed,70,175,0.267,0.27,14
Ellie Rodriguez,right-handed,71,185,0.245,0.25,16
Darrel Chaney,both-handed,74,188,0.217,0.22,14
Dick Nen,left-handed,74,200,0.224,0.23,21
Bryan Kelly,right-handed,74,195,0,0,0
Bill Freehan,right-handed,75,203,0.262,0.27,200
Steve Nicosia,right-handed,70,185,0.248,0.25,11
Ted Savage,right-handed,73,185,0.233,0.24,34
Pete Mackanin,right-handed,74,190,0.226,0.23,30
Rich Dauer,right-handed,72,180,0.257,0.26,43
Mick Kelleher,right-handed,69,176,0.213,0.22,0
Rowland Office,left-handed,72,170,0.259,0.26,32
Rick Leach,left-handed,73,180,0.268,0.27,18
Dwayne Murphy,left-handed,73,185,0.246,0.25,166
Larry Harlow,left-handed,74,185,0.248,0.25,12
Mike Epstein,left-handed,75,230,0.244,0.25,130
Jerry Mumphrey,both-handed,74,185,0.289,0.29,70
Don Sutton,right-handed,73,185,0.144,0.15,0
Glenn Beckert,right-handed,73,190,0.283,0.29,22
Ron Davis,right-handed,72,175,0.233,0.24,10
Mike Shannon,right-handed,75,195,0.255,0.26,68
Jason Thompson,left-handed,76,200,0.261,0.27,208
Wayne Tolleson,both-handed,69,160,0.241,0.25,9
John Leister,right-handed,74,200,0,0,0
Don Cooper,right-handed,73,185,0,0,0
Mike Jorgensen,left-handed,72,195,0.243,0.25,95
Ed Romero,right-handed,71,160,0.247,0.25,8
Rick Joseph,right-handed,73,192,0.243,0.25,13
Cecil Cooper,left-handed,74,165,0.298,0.3,241
Bill Almon,right-handed,75,180,0.254,0.26,36
Joe Ferguson,right-handed,74,200,0.24,0.24,122
Jeff Jones,right-handed,75,210,0,0,0
Jerry Terrell,right-handed,71,165,0.253,0.26,4
John Poloni,left-handed,77,210,0,0,0
Dave Revering,left-handed,76,210,0.265,0.27,62
Curt Ford,left-handed,70,150,0.245,0.25,7
Jerry Dybzinski,right-handed,74,180,0.234,0.24,3
Mike Willis,left-handed,74,205,0,0,0
Bob Burda,left-handed,71,174,0.224,0.23,13
Jesse Gonder,left-handed,70,180,0.251,0.26,26
Gary Sutherland,right-handed,72,185,0.243,0.25,24
Bob Coluccio,right-handed,71,183,0.22,0.22,26
Dave Rader,left-handed,71,165,0.257,0.26,30
Ron Gardenhire,right-handed,72,175,0.232,0.24,4
Bill Sharp,left-handed,70,178,0.255,0.26,9
Alan Bannister,right-handed,71,170,0.27,0.27,19
Bob Watson,right-handed,72,201,0.295,0.3,184
Ken Harrelson,right-handed,74,190,0.239,0.24,131
Bobby Wine,right-handed,73,187,0.215,0.22,30
Stefan Wever,right-handed,80,245,0,0,0
John Kennedy,right-handed,72,185,0.225,0.23,32
Chico Ruiz,both-handed,72,169,0.24,0.24,2
Dave Johnson,right-handed,73,183,0,0,0
Gail Hopkins,left-handed,70,198,0.266,0.27,25
Doug Frobel,left-handed,76,196,0.201,0.21,20
Luis Melendez,right-handed,72,165,0.248,0.25,9
Jerry Augustine,left-handed,72,183,0,0,0
Bill Plummer,right-handed,73,190,0.188,0.19,14
Buck Rodgers,both-handed,74,190,0.232,0.24,31
Phil Niekro,right-handed,73,180,0.169,0.17,7
Jeff Holly,left-handed,77,210,0,0,0
Tom Poquette,left-handed,70,175,0.268,0.27,10
Eric Hetzel,right-handed,75,175,0,0,0
Brian Asselstine,left-handed,73,175,0.254,0.26,12
Rick Miller,left-handed,72,175,0.269,0.27,28
Ed Charles,right-handed,70,170,0.263,0.27,86
Luis Gomez,right-handed,69,150,0.21,0.21,0
Dave Lemanczyk,right-handed,76,235,0,0,0
Al Jones,right-handed,76,210,0,0,0
Floyd Rayford,right-handed,70,190,0.244,0.25,38
Sam Hinds,right-handed,78,215,0,0,0
Tony Conigliaro,right-handed,75,185,0.264,0.27,166
Clay Christiansen,right-handed,77,205,0,0,0
Jim Barr,right-handed,75,205,0.162,0.17,1
Jerry Remy,left-handed,69,165,0.275,0.28,7
Larry Rothschild,left-handed,74,180,0,0,0
Frank Duffy,right-handed,73,180,0.232,0.24,26
Gary Lance,both-handed,75,195,0,0,0
Tom O'Malley,left-handed,72,180,0.256,0.26,13
Phil Garner,right-handed,70,175,0.26,0.26,109
Larry Pashnick,right-handed,75,205,0,0,0
Todd Fischer,right-handed,70,170,0,0,0
